SKU,Product Name,Product Type,Deck Category (Slide 3)
DGHK-1101,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1102,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1103,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1104,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1105,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1106,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1107,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1108,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1109,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1110,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1112,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1115,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1117,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1120,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1122,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1125,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1127,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1130,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1132,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DGHK-1135,Nike Strength Grind Dumbbell (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1001,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1002,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1003,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1004,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1005,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1006,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1007,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1008,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1009,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1010,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1012,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1014,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1016,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1018,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1020,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1022,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1024,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1026,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1028,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1030,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1032,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1034,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1036,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1038,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRCK-1040,Nike Strength Pro Urethane Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1001,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1002,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1003,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1004,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1005,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1006,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1007,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1008,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1009,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1010,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1012,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1015,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1017,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1020,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
DRDK-1022,Nike Strength Dumbbells (Sold Individually),Fixed Dumbbells,Functional Training
